from,to,count
ATF3,PI15,10
ATF3,AMD1,10
ATF3,SIAH2,10
ATF3,DNAJB1,10
ATF3,GLUD1,10
ATF3,DNAJB6,10
ATF3,CD36,10
ATF3,SLC2A3,10
ATF3,UGCG,10
ATF3,DNAJA1,10
ATF3,RTN4,10
ATF3,IL6,10
ATF3,OTUD1,10
ATF3,PAQR3,10
ATF3,ADM,10
ATF3,VCAM1,10
ATF3,SDCBP,10
ATF3,HSPA1A,10
ATF3,PPTC7,10
ATF3,S1PR3,10
ATF3,NPIPB15,10
ATF3,GUCY1A2,10
ATF3,PELI1,10
ATF3,TNFSF9,10
ATF3,HIST1H2AC,10
ATF3,CRYAB,10
ATF3,HSP90AA1,10
ATF3,GCH1,10
ATF3,RGS2,10
ATF3,PPP1R18,10
ATF3,CCL3,10
ATF3,CXCL2,10
ATF3,SERTAD3,10
ATF3,JMJD1C,10
ATF3,UBE2D3,10
ATF3,IL1B,10
ATF3,G0S2,10
ATF3,PHF1,10
ATF3,KLF10,10
ATF3,CRK,10
ATF3,PDE4DIP,10
ATF3,HSPD1,10
ATF3,HSPE1,10
ATF3,DCUN1D3,10
ATF3,TNFAIP2,10
ATF3,SOD2,10
ATF3,CEBPD,10
ATF3,EIF3E,10
ATF3,HNRNPDL,10
ATF3,ATP13A3,10
ATF3,LSMEM1,10
ATF3,TBC1D10A,10
ATF3,TRIP10,10
ATF3,DLC1,10
ATF3,DGKI,10
ATF3,LINC00877,10
ATF3,SCML1,10
ATF3,ABHD5,10
ATF3,COQ10B,10
ATF3,RIPK2,10
ATF3,RRAD,10
ATF3,MIR22HG,10
ATF3,DDIT3,10
ATF3,PTGS2,10
ATF3,ZBTB43,10
ATF3,RNF149,10
ATF3,BLID,10
ATF3,FAM133B,10
ATF3,KPNA2,10
ATF3,FMNL3,10
ATF3,HSPA1B,10
ATF3,PPP1R15B,10
ATF3,MYLIP,10
ATF3,KHDRBS1,10
ATF3,BIRC3,10
ATF3,CHORDC1,10
ATF3,ZBTB10,10
ATF3,NFKBIE,10
ATF3,MMP9,10
ATF3,CSF1,10
ATF3,SRGAP1,10
ATF3,HMOX1,10
ATF3,TCP1,10
ATF3,PAWR,10
ATF3,SIX4,10
ATF3,CSRNP1,10
ATF3,PHLDA1,10
ATF3,TRIM28,10
ATF3,CCL2,10
ATF3,GRAMD1A,10
ATF3,CRISPLD2,10
ATF3,APOC1,10
ATF3,ETS2,10
ATF3,TNFAIP6,10
ATF3,PTGER4,10
ATF3,CSF3,10
ATF3,MOB4,10
ATF3,TIPARP,10
ATF3,KCMF1,10
ATF3,ZMAT3,10
ATF3,SH3BP5-AS1,10
ATF3,CXCL8,10
ATF3,SERTAD1,10
ATF3,PNP,10
ATF3,HSPA6,10
ATF3,BCL10,10
ATF3,DUSP10,10
ATF3,SLC25A33,10
ATF3,ERN1,10
ATF3,SYNPO2,10
BCL3,NFKB2,10
BCL3,ICAM1,10
BCL3,IRF1,10
BCL3,ZC3H12A,10
BCL3,CCL2,10
BCL3,SOCS3,10
BCL3,PLA2G5,10
BCL3,SBNO2,10
BCL3,CHI3L1,10
BCL3,RELB,10
BCL3,KLF9,10
BCL3,OSMR,10
BCL3,BCL3,10
BCL3,PLAU,10
BCL3,C1orf116,10
BCL3,NR1D1,10
BCL3,MIDN,10
BCL3,ZNF385A,10
BCL3,JUNB,10
BCL3,NGFR,10
BCL3,PTGIR,10
BCL3,HAS1,10
BCL3,ENG,10
BCL3,ZNF703,10
BCL3,HRH1,10
BCL3,CYP1B1,10
BCL3,RUNX1,10
BCL3,SLC39A14,10
BCL3,PIM3,10
BCL3,FOXO3,10
BCL3,KCNJ15,10
BCL3,A2M,10
BCL3,STAT3,10
BCL3,ALPL,10
BCL3,ADORA1,10
BCL3,LMCD1,10
BCL3,MT2A,10
BCL3,RARRES1,10
BCL3,IFI16,10
BCL3,CTDSP2,10
BCL3,ANGPTL4,10
BCL3,SOD2,10
BCL3,CCL19,10
BCL3,CLSTN3,10
BCL3,NAMPT,10
BCL3,WDR45,10
BCL3,AIFM2,10
BCL3,MEDAG,10
BCL3,KLF10,10
BCL3,MYC,10
BCL3,FAM20C,10
BCL3,LBP,10
BCL3,STEAP1,10
BCL3,COL4A4,10
BCL3,YBX3,10
BCL3,ADAMTS4,10
BCL3,MAPRE1,10
BCL3,B4GALT5,10
BCL3,NFE2,10
BCL3,APOL3,10
BCL3,KRT16,10
BCL3,POR,10
BCLAF1,EIF4G3,10
BCLAF1,ZBTB20,10
BCLAF1,PHIP,10
BCLAF1,SMARCA2,10
BCLAF1,RSF1,10
BCLAF1,SRRM2,10
BCLAF1,PBX1,10
BCLAF1,NIPBL,10
BCLAF1,C6orf62,10
BCLAF1,CASK,10
BCLAF1,TRPS1,10
BCLAF1,ITGB1,10
BCLAF1,MAP4,10
BCLAF1,PSIP1,10
BCLAF1,ZNF148,10
BCLAF1,GPBP1,10
BCLAF1,PJA2,10
BCLAF1,ZBTB1,10
BCLAF1,LCOR,10
BCLAF1,RNF19A,10
BCLAF1,ARFGEF1,10
BCLAF1,ATF7IP,10
BCLAF1,AP2A1,10
BCLAF1,WAC,10
BCLAF1,KDM2A,10
BCLAF1,KPNB1,10
BCLAF1,FNBP1L,10
BCLAF1,RAB22A,10
BCLAF1,CHD4,10
BCLAF1,PCM1,10
BCLAF1,PHLDB2,10
BCLAF1,UTRN,10
