,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TERF2IP,0.286697538891501,-0.082696828043782,0.588,0.529,1
KLHL24,0.28897814453576,-0.045330162751285,0.263,0.24,1
CTSZ,0.290356269008175,-0.070964842342527,0.719,0.675,1
ZNF24,0.291012863422171,-0.055011382032474,0.321,0.285,1
FNIP1,0.291127672374771,-0.111903976102739,0.36,0.34,1
SERPINB1,0.291238280311938,-0.088229107474205,0.388,0.362,1
BOD1,0.29141404395019,-0.069668460572093,0.367,0.321,1
MYL12B,0.291661323944196,-0.022265987677685,0.894,0.855,1
LARP6,0.292559991684173,-0.082113928308437,0.394,0.346,1
TUBB4B,0.292977547034962,-0.087701560919356,0.612,0.56,1
C8orf82,0.294680520930897,-0.084370581775449,0.252,0.221,1
GEM,0.295137103037082,-0.034202408443828,0.454,0.413,1
THAP7,0.29595678649851,-0.0569203491051,0.256,0.229,1
MRPL43,0.297084223633688,-0.082245627395253,0.474,0.432,1
WDR61,0.297255844977324,-0.08287659665533,0.407,0.352,1
SLC39A10,0.299856775867575,-0.074205756833012,0.238,0.215,1
ATP2B1,0.301243276012704,-0.05597445835702,0.437,0.388,1
GLI3,0.302574315143881,-0.088114762444471,0.234,0.211,1
TMEM14A,0.30338711722743,-0.054586318155739,0.289,0.259,1
TTC28,0.304737189106604,-0.122845542459366,0.208,0.202,1
CWC25,0.304962924036073,-0.070913997189676,0.249,0.241,1
GLOD4,0.306034080198459,-0.085360210497527,0.262,0.251,1
EBLN3P,0.306053265817509,-0.125492939891875,0.333,0.308,1
GLTP,0.306475612733583,-0.066984863207313,0.278,0.247,1
HLA-B,0.307761598583363,0.09203591709071,0.921,0.919,1
MAPK14,0.308792116922511,-0.047405371385613,0.204,0.184,1
OS9,0.310098484336316,-0.077359172976936,0.723,0.648,1
DHRS4L2,0.314467767522645,-0.095190193990849,0.356,0.332,1
ECHS1,0.315763236573982,-0.061811943724698,0.533,0.474,1
GMPR2,0.315878240487253,-0.097260356281527,0.22,0.212,1
PRRC2B,0.317386818016026,-0.102605386578119,0.324,0.304,1
NFKB2,0.317644222871127,-0.063065707687929,0.207,0.186,1
PDCD6IP,0.320202818436365,-0.111692941807908,0.378,0.348,1
GIPC1,0.324071249522944,-0.066426469773454,0.342,0.3,1
GATAD2B,0.324934517792132,-0.066656163946711,0.214,0.193,1
MAGT1,0.326554219872443,-0.081110968842168,0.303,0.268,1
BANF1,0.326815755811135,-0.082362600746824,0.658,0.602,1
RILPL2,0.328205685784591,-0.063094949447024,0.27,0.241,1
LRCH3,0.328232979138728,-0.082227472534244,0.201,0.197,1
VPS29,0.329741423049933,-0.037455776003233,0.608,0.533,1
SEPT2,0.331257272552368,-0.06525403986773,0.734,0.67,1
IFNAR1,0.331898512384157,-0.045923621309372,0.334,0.3,1
ACAP3,0.333922821660412,-0.065863816340727,0.211,0.191,1
IER5L,0.334915227750304,-0.067888156224134,0.491,0.47,1
KIF2A,0.335689999012947,-0.066191138930323,0.222,0.2,1
CTTN,0.337825456118429,-0.015014599770777,0.661,0.587,1
SUCLA2,0.338613582030197,-0.059391816998781,0.266,0.258,1
ZEB1,0.339550456285691,-0.077336497442371,0.444,0.391,1
XRN1,0.340716173860189,-0.101323794979908,0.275,0.263,1
PDCD6,0.341225482959879,-0.08378593102609,0.611,0.556,1
TMEM203,0.344352612480831,-0.06198396624153,0.318,0.283,1
NUDT16,0.345088611413917,-0.072333822734018,0.202,0.182,1
RNF168,0.347123017150714,-0.031451198940126,0.254,0.232,1
MED30,0.348197273529111,-0.082189825955106,0.207,0.202,1
ZDHHC3,0.348401600066149,-0.069200790492756,0.287,0.255,1
VPS26A,0.349240864615574,-0.063145586024977,0.322,0.287,1
FIP1L1,0.35231376084425,-0.069836622797337,0.336,0.3,1
RAP2B,0.352756395814887,-0.099144563496279,0.208,0.187,1
SOS1,0.35359573705896,-0.112624748923325,0.221,0.213,1
BUB3,0.354099304336676,-0.053274754948994,0.388,0.345,1
FBXO11,0.355105344590285,-0.076590537677987,0.281,0.252,1
SLU7,0.355983000843791,-0.059254922139486,0.368,0.326,1
PABPN1,0.356498916372502,-0.065465501729108,0.468,0.41,1
MFAP5,0.356824577518252,-0.086920837060291,0.636,0.607,1
MKRN1,0.357286211234286,-0.059749196778249,0.286,0.257,1
DIXDC1,0.357612514787241,-0.059575306597086,0.302,0.273,1
TP53BP1,0.358068501820117,-0.116631857989552,0.208,0.202,1
SNX7,0.358167108033843,-0.095706656334075,0.398,0.368,1
CAMLG,0.360044261892446,-0.058188525954752,0.6,0.521,1
HDAC3,0.360407768272425,-0.077600762095014,0.291,0.26,1
UPF1,0.36052284988184,-0.063244287331137,0.211,0.191,1
ELK4,0.362040904419742,-0.052344189369794,0.24,0.217,1
SERPINB6,0.362937217575199,-0.053104036352715,0.486,0.431,1
DHPS,0.36376600810983,-0.04150916116898,0.299,0.27,1
PIH1D1,0.364967251033139,-0.101071007204306,0.414,0.378,1
TLNRD1,0.365131792610769,-0.069126378526881,0.247,0.241,1
N4BP1,0.365295525488178,-0.058920231744303,0.217,0.196,1
C16orf45,0.366733030561939,-0.060119463985154,0.347,0.313,1
SAT2,0.367695343423016,-0.060298725604687,0.659,0.574,1
SNRPD3,0.370656141831379,-0.057217458355735,0.574,0.511,1
ATP5IF1,0.372612511271887,-0.098254836958484,0.673,0.622,1
PYURF,0.372756193883054,-0.062052765076745,0.548,0.497,1
C15orf40,0.374444550027404,-0.079936994931521,0.218,0.213,1
UBL4A,0.374657403740896,-0.061486062384748,0.221,0.199,1
H2AFJ,0.375374079138327,-0.020774967012128,0.652,0.575,1
POLR2A,0.375983770171859,-0.107422373337374,0.28,0.264,1
NAP1L4,0.376194003077744,-0.075909700434598,0.376,0.333,1
NBR1,0.377071471717261,-0.052900250388945,0.306,0.276,1
ZFYVE16,0.37947300956581,-0.109356343793149,0.296,0.281,1
AC245297.3,0.379887050140581,-0.075222687038258,0.299,0.285,1
ZC3H13,0.3831467758496,-0.122077534737088,0.501,0.452,1
RAB34,0.383860446893049,-0.034011056078296,0.731,0.648,1
SP100,0.384342961834944,-0.06212141339665,0.487,0.432,1
APPBP2,0.387093956423732,-0.077895267320609,0.236,0.227,1
TBC1D16,0.392495237687109,-0.081942864948245,0.206,0.2,1
PPP4R3B,0.393443240404803,-0.06400849609206,0.26,0.235,1
CELF2,0.393811300338286,-0.031934293028715,0.574,0.517,1
USP1,0.394654431598289,-0.072681284058894,0.285,0.254,1
HIPK3,0.396058631194929,-0.07794942229145,0.312,0.298,1
CBX6,0.402790706937366,-0.100325882817744,0.416,0.384,1
AC100810.1,0.402872025468132,-0.090755008359858,0.256,0.243,1
