,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PDPN,0,1.03306932891339,0.656,0.284,0
TXNIP,0,-1.24941017571496,0.549,0.779,0
TNFAIP6,0,1.46318027907283,0.672,0.296,0
APOD,0,-2.19447923613658,0.225,0.604,0
CXCL14,0,-2.38214277636096,0.52,0.783,0
TNXB,0,-1.32095177455388,0.388,0.735,0
BGN,0,1.34424443812667,0.904,0.616,0
RGS3,0,1.15088671540528,0.705,0.314,0
TNC,0,1.66698461254956,0.728,0.262,0
GSN,0,-2.73560202370676,0.862,0.895,0
PTGDS,0,-2.71480688825854,0.269,0.624,0
ADIRF,0,-1.02348950754817,0.667,0.86,0
ADAM12,0,1.05787344113417,0.526,0.135,0
F10,0,-0.916553289196974,0.142,0.444,0
HIF1A,0,1.21946145818813,0.776,0.356,0
TNFRSF12A,0,1.23375843874718,0.641,0.222,0
CFD,0,-2.38242263337666,0.728,0.899,0
TPM4,0,0.75119644530084,0.924,0.735,0
APOE,0,-2.57293066223639,0.247,0.562,0
MT-ND1,0,-0.802479030488414,0.994,0.997,0
SELENOP,0,-1.39798043789041,0.333,0.75,0
NTRK2,2.19708370900014E-295,-0.902646974982162,0.127,0.421,5.59201745614717E-291
NBL1,3.5020570732288E-290,0.985496590948433,0.912,0.695,8.91343566278194E-286
FGL2,1.59842337742545E-284,-0.901940724836691,0.106,0.377,4.06830718022325E-280
PLPP3,1.88794968823887E-283,-1.18570400581452,0.585,0.784,4.80520954650557E-279
WISP1,9.51363420754462E-281,0.788932253484715,0.486,0.125,2.42141017850426E-276
MFAP4,4.62297963434697E-279,-1.03231181467338,0.628,0.833,1.17664077653399E-274
FBLN2,5.52105355470306E-275,-0.898960484936992,0.784,0.887,1.40521855074302E-270
ALDH1A1,1.06189079059711E-274,-0.788729176615571,0.126,0.403,2.70272444022775E-270
TMSB4X,3.79669010912201E-274,0.910505529177954,0.994,0.979,9.66333566573735E-270
ASPN,2.6067284044333E-273,2.08347139651567,0.596,0.254,6.63464513496362E-269
NNMT,2.48085169740693E-266,0.841524629789807,0.947,0.836,6.31426374024013E-262
CD81,9.23077339220563E-262,-0.91432544593044,0.92,0.922,2.34941644378418E-257
SPRY1,9.93221532171614E-255,-0.8945169571805,0.297,0.594,2.52794744368319E-250
CFH,1.39819819514195E-253,-1.35215671589663,0.663,0.782,3.5586940462753E-249
AHNAK,4.89103549475685E-253,-0.769321218479962,0.802,0.886,1.24486635412551E-248
TGFBI,1.35780046704767E-248,1.2708512155604,0.769,0.505,3.45587374872973E-244
PLAUR,2.6426787788158E-246,0.743377091582769,0.631,0.298,6.72614602784198E-242
CCDC80,2.99995834227162E-244,-0.717995503883743,0.896,0.965,7.63549397274972E-240
SCARA5,6.40288300760582E-243,-1.2367974142324,0.245,0.508,1.62966178309583E-238
PLOD2,1.17404439809484E-242,0.79354992873114,0.514,0.189,2.988177802031E-238
SLC39A14,1.10369154921377E-239,0.836490533867533,0.525,0.199,2.8091157310589E-235
GAPDH,2.15633611097632E-238,0.801540046211205,0.969,0.961,5.48830666965692E-234
SOD3,1.23888267109165E-237,-0.883269135417486,0.705,0.836,3.15320417446246E-233
SPHK1,3.36025249409324E-229,0.668443230610713,0.518,0.183,8.55251464796611E-225
SLC16A3,1.26859686915444E-228,0.76242581168278,0.476,0.157,3.22883275137187E-224
GFRA1,8.45923104924047E-228,-0.493216881978225,0.032,0.217,2.15304348665268E-223
FTH1,4.58024359116196E-227,1.39602468555239,0.996,0.994,1.16576359882254E-222
COL12A1,8.09102685652115E-227,1.06121183673466,0.82,0.585,2.05932815552176E-222
RPLP0,2.2686578817519E-221,0.500003099568883,0.97,0.951,5.77418804063493E-217
SOD2,4.73167810950047E-219,1.19023687342594,0.842,0.64,1.20430671243006E-214
SERPINH1,1.6387219866818E-217,0.688775296420003,0.894,0.765,4.17087520050252E-213
LGALS1,2.03352318149522E-216,0.702491764868248,0.984,0.982,5.17572320154162E-212
RAB31,1.72066294060439E-215,0.700181720052083,0.732,0.415,4.37943131642629E-211
CRABP1,1.39048959273857E-212,-0.941776882906067,0.049,0.245,3.5390741114382E-208
SLIT3,5.74062242490532E-212,-0.879081533459954,0.543,0.731,1.4611032195869E-207
LOXL2,1.3243763512581E-207,0.773317996495534,0.568,0.264,3.3708026892221E-203
COL8A1,7.22673872040205E-207,0.664853267966764,0.439,0.137,1.83934953911673E-202
CTHRC1,2.09235434649649E-205,0.981994831748632,0.784,0.494,5.32546028270287E-201
THBS1,1.00191545914493E-201,1.10786380257785,0.583,0.28,2.55007522661566E-197
FNDC1,1.20886194036273E-201,0.76451461305457,0.632,0.313,3.07679541061121E-197
ITIH5,2.11312042853535E-201,-0.633953078354635,0.058,0.252,5.37831411470816E-197
PDLIM7,1.80116694001947E-200,0.633090486906451,0.616,0.31,4.58433009573755E-196
BCAT1,1.4585109009928E-199,0.545787793866379,0.35,0.078,3.71220194520688E-195
FXYD1,2.32449728759943E-199,-0.73641085920726,0.462,0.672,5.91631049639808E-195
EPHX1,2.84225287558133E-198,-1.00506536447135,0.456,0.625,7.23410201892961E-194
RPS26,6.72823637981514E-197,-0.654303561192643,0.887,0.938,1.71247072339055E-192
MT-ND3,4.31726454498594E-194,-0.592827768876838,0.992,0.995,1.09883017198982E-189
IL11RA,7.03533706422498E-193,-0.814943807217965,0.279,0.514,1.79063398958654E-188
LGALS3,6.34403328153876E-192,-0.777227398176744,0.894,0.916,1.61468335081725E-187
TAGLN,4.12039943030874E-191,1.28365904810197,0.568,0.275,1.04872406300218E-186
NRP2,2.41333032285901E-190,0.577075338964198,0.547,0.238,6.14240833774075E-186
CTSB,7.43376387688299E-188,0.721665693884972,0.894,0.75,1.89204158194426E-183
PKM,7.91564209373795E-188,0.740640693308518,0.879,0.742,2.01468922569818E-183
MT-ND4,9.62165144692168E-188,-0.4797817032997,0.996,0.998,2.44890272627051E-183
CST3,2.36845235604355E-187,-0.667740043796236,0.959,0.97,6.02818493660204E-183
EPAS1,1.28376273013275E-185,0.672416774317816,0.521,0.233,3.26743290073388E-181
TPM2,2.2653702854216E-185,0.897819065114151,0.751,0.548,5.76582045045506E-181
SFRP4,2.71026604809186E-185,1.0747105287273,0.639,0.343,6.89816914560339E-181
ACTN1,5.05412431999449E-185,0.569663613786957,0.693,0.4,1.286375721925E-180
SERPING1,7.80066840742652E-182,-0.53379283405274,0.885,0.92,1.9854261230582E-177
DIO3OS,1.80651815339424E-181,-0.476733278401515,0.056,0.235,4.59795000401901E-177
TPI1,2.37268290408209E-181,0.729110460460422,0.877,0.767,6.03895252746972E-177
CA12,1.51787314030463E-179,0.836588508977963,0.492,0.214,3.86329071670335E-175
PTMA,3.23197240659321E-178,0.522687477227337,0.991,0.984,8.22601616926103E-174
FN1,1.46212429649493E-176,0.925670967500356,0.924,0.832,3.7213987594389E-172
SEC61G,9.84859074320264E-176,0.548414955813804,0.871,0.72,2.50666331595994E-171
CFB,2.88114761330996E-175,0.736211812779336,0.345,0.096,7.33309690539652E-171
STEAP1,6.2325406400272E-175,0.615760636109972,0.626,0.34,1.58630624369972E-170
PPL,1.97707178515254E-174,-0.72829433612728,0.141,0.352,5.03204310757025E-170
RPS4Y1,2.75442320466205E-174,-0.654287396375585,0.158,0.412,7.01055794050586E-170
RAI14,5.49380010292568E-171,0.439798909447351,0.462,0.173,1.39828200219665E-166
DCN,7.64705177080765E-170,-0.550812539535204,0.988,0.993,1.94632761670596E-165
CHRDL1,3.36507611357871E-169,-0.50767957544679,0.05,0.217,8.56479172428054E-165
VIT,7.69249728757893E-169,-0.542684078866419,0.074,0.258,1.95789440963459E-164
ITM2B,6.79856675263786E-167,-0.50153730260587,0.954,0.956,1.73037120988139E-162
PXDN,2.00929738970467E-165,0.549524331153758,0.646,0.348,5.11406371627633E-161
INHBA,3.83203676196154E-163,1.00735209914671,0.497,0.226,9.75329996654452E-159
CNN3,8.25589234109872E-163,0.625188946709843,0.854,0.673,2.10128971865645E-158
PPIB,9.16677452639791E-163,0.510860310828574,0.938,0.91,2.3331274524588E-158
ENAH,1.20843537111959E-161,0.590592688875377,0.686,0.426,3.07570970657359E-157
DCLK1,4.53775447610773E-161,-0.644358320573932,0.201,0.416,1.15494926925894E-156
RUNX2,8.10789192705655E-161,0.504828088737884,0.391,0.134,2.06362065327443E-156
PLAC9,6.41462426175887E-160,-0.529540189475907,0.795,0.877,1.63265016710287E-155
CEMIP,5.88698610202107E-159,1.03085779379378,0.329,0.09,1.4983557026864E-154
PDK4,1.59870795534307E-158,-0.488289910503109,0.076,0.254,4.06903148793919E-154
ZFP36L2,2.66879764323188E-158,-0.74650208418095,0.662,0.771,6.79262376155379E-154
CALU,2.86140255183962E-158,0.518090247430834,0.875,0.735,7.2828417749422E-154
MT-CYB,1.55512452134382E-157,-0.544329286975737,0.995,0.997,3.95810293172428E-153
RPS19,2.6542804365955E-156,0.410882828789214,0.972,0.973,6.75567456722288E-152
RCAN1,5.71920297857001E-154,0.799521592019833,0.428,0.179,1.45565154210564E-149
MMP14,1.41935077259175E-153,0.636513134171498,0.779,0.548,3.61253158640053E-149
LRRFIP1,1.08883521893309E-152,0.597778440271754,0.667,0.404,2.7713033992285E-148
CD151,5.14570633092733E-152,0.527828241018521,0.833,0.646,1.30968517534762E-147
TCF4,1.61346161854937E-150,-0.660644201291225,0.751,0.853,4.10658251153186E-146
CHI3L2,8.94731616850601E-150,2.4861225762447,0.264,0.056,2.27727091120815E-145
RPL27A,4.36335347100784E-149,0.485845249927241,0.958,0.937,1.11056072544091E-144
C12orf75,1.2015063008503E-146,0.530119420708915,0.495,0.226,3.05807383692418E-142
CRISPLD2,2.89603332288663E-146,0.586163414431919,0.643,0.359,7.37098401341106E-142
FHL2,2.46730005243934E-145,0.449822193233675,0.465,0.198,6.2797720934686E-141
TMEM208,5.60642564658044E-145,0.48059772990471,0.671,0.435,1.42694745556765E-140
IER3,4.55188933486921E-144,1.03551062399706,0.799,0.576,1.15854687351091E-139
C1QTNF1,1.11273921657659E-143,0.385301871087964,0.375,0.131,2.83214385403075E-139
PDLIM4,1.11605090215129E-143,0.571872682328916,0.574,0.325,2.84057275615546E-139
NAMPT,1.72374137020298E-143,0.966975850173188,0.613,0.385,4.38726653544062E-139
CHPF,2.31055604472796E-143,0.526215272556619,0.569,0.3,5.88082724504161E-139
LMCD1,3.42741526071731E-143,0.641008494143794,0.525,0.276,8.72345732157771E-139
ZBTB20,1.45415373783391E-142,-0.587277416404909,0.745,0.829,3.70111209353486E-138
CIRBP,9.56539307692058E-142,-0.454236143542002,0.88,0.894,2.43458384593783E-137
PFN1,1.50254709376801E-141,0.556508459320364,0.913,0.829,3.82428286305834E-137
NFIX,1.90505312884982E-141,-0.562943024246654,0.592,0.731,4.84874122354855E-137
ABI3BP,1.4621833949919E-140,-0.989998442147641,0.486,0.619,3.72154917693338E-136
SURF4,3.22104149257524E-139,0.49365277658979,0.72,0.502,8.19819480690251E-135
TFPI,3.86994047264017E-139,-0.516019153335236,0.233,0.445,9.84977249096375E-135
MATN2,9.99510738098461E-139,-0.528044222655292,0.099,0.273,2.5439547306082E-134
ENO1,4.93264568890778E-138,0.706557961921298,0.856,0.746,1.25545698074081E-133
CHI3L1,2.64135440977578E-137,2.19795008787472,0.363,0.136,6.72277524376132E-133
HSPB1,1.78460159902874E-136,0.486350742389519,0.931,0.862,4.54216798984795E-132
LMO4,3.58752986564271E-136,0.585942945048406,0.746,0.533,9.13098101403382E-132
MYDGF,9.11361851847681E-136,0.501982010231727,0.822,0.678,2.31959818532272E-131
POSTN,3.04541026132781E-135,1.86004569190699,0.501,0.277,7.75117819713153E-131
NFIA,5.73099410260825E-133,-0.599255592719575,0.269,0.468,1.45865261899585E-128
QSOX1,1.30425391280503E-132,0.631032595836709,0.581,0.339,3.31958705887135E-128
CRLF1,5.09608559810484E-132,-0.961193282651608,0.304,0.489,1.29705570642964E-127
SERPINE1,2.25096574575689E-131,0.957148778599903,0.332,0.115,5.72915801610043E-127
MIF,7.27894181898953E-131,0.555624768856628,0.754,0.546,1.85263627176922E-126
BNC2,3.91246486397306E-130,0.467249792065519,0.531,0.277,9.95800557178424E-126
CXCL12,2.77390434452427E-129,-0.825463472875852,0.722,0.814,7.06014133768316E-125
EMID1,7.01698388327349E-129,-0.552586898165283,0.104,0.273,1.78596273797077E-124
RAMP2,2.04134509396217E-128,-0.498980003397993,0.101,0.268,5.19563153315251E-124
CD9,2.90833769296651E-128,-0.550289317219471,0.784,0.861,7.40230109613837E-124
RPS2,3.10886793050325E-128,0.35517551870852,0.985,0.98,7.91269065671686E-124
ITGB1,5.3505551605175E-128,0.437962342770381,0.926,0.843,1.36182329945491E-123
P4HA3,1.05695495218957E-127,0.440492063078743,0.418,0.18,2.69016174431289E-123
SAT1,1.71766813248384E-127,0.902023753907917,0.862,0.688,4.37180893079787E-123
CFL1,1.85431454985819E-127,0.454130139868907,0.931,0.874,4.71960139229906E-123
MYL6,2.80067660181612E-127,0.399897949310182,0.968,0.949,7.12828208694239E-123
C4orf48,3.68799001617045E-127,0.337825068742222,0.568,0.289,9.38667218915703E-123
COTL1,5.66811580043433E-127,0.475975326027225,0.427,0.194,1.44264883352655E-122
RPL13A,1.08066724109431E-126,0.433944303898095,0.981,0.981,2.75051426203324E-122
HSPH1,1.25573530776569E-126,0.825072788807096,0.552,0.32,3.19609750532524E-122
PTN,3.38972857064078E-125,-0.853318143620664,0.297,0.485,8.62753715799492E-121
CYTOR,6.61492751785038E-125,0.486451149919361,0.532,0.274,1.68363135184328E-120
ADD3,7.28248395761169E-124,-0.659436091210755,0.473,0.599,1.85353781689133E-119
EDNRB,1.15738780332485E-122,-0.591505905157824,0.125,0.301,2.94578343702241E-118
ATP5F1E,2.645197728532E-122,0.329968121388862,0.938,0.907,6.73255725865964E-118
MYL12A,1.01380568078431E-121,0.509566246974681,0.885,0.785,2.58033821873223E-117
CAPZB,1.30758121404092E-121,0.426607220535371,0.879,0.758,3.32805570597695E-117
FAP,1.59346754374697E-121,0.470658373321839,0.744,0.517,4.05569359234479E-117
COL11A1,1.79203480233472E-121,0.449158899204954,0.242,0.053,4.56108697890232E-117
TMEM176B,4.62276595353921E-121,-0.618792027859331,0.41,0.6,1.1765863904948E-116
RPLP1,4.75118464496073E-121,0.280053318056215,0.99,0.992,1.2092715158354E-116
LRRC59,7.0088422819536E-121,0.380181221550874,0.541,0.297,1.78389053760283E-116
MT-CO3,2.38407932101411E-120,-0.349759044798395,0.997,0.999,6.0679586878451E-116
ABCA8,4.40999378665711E-120,-0.549294045480638,0.191,0.388,1.12243161857997E-115
CD34,7.76969511978585E-120,-0.480754285536748,0.131,0.31,1.9775428018879E-115
PEBP1,1.11797277760233E-119,-0.470674308460052,0.804,0.818,2.84546431355344E-115
CAT,9.09756704358266E-119,-0.553953194682783,0.294,0.461,2.31551276393266E-114
PLEKHH2,1.2736841866749E-118,-0.565168480690197,0.208,0.393,3.24178099192494E-114
CYBRD1,1.28846097580716E-118,-0.519253428354227,0.678,0.755,3.27939087562439E-114
EFEMP1,1.50722113912161E-118,-0.745684049288958,0.523,0.65,3.83617924329231E-114
SPTBN1,6.18110646140557E-118,-0.60216047981079,0.475,0.612,1.57321521655695E-113
CEP126,6.59958053244087E-118,-0.526970263147856,0.165,0.338,1.67972523711685E-113
ANGPTL2,9.17769865301552E-118,0.520073272423013,0.885,0.722,2.33590786116551E-113
ACTB,9.15467174576513E-117,0.495793431091747,0.989,0.987,2.33004705273214E-112
P4HB,1.33479550112593E-116,0.419946368494351,0.908,0.835,3.39732150946571E-112
RUNX1,3.37896659564154E-116,0.410425016339561,0.631,0.369,8.60014577922685E-112
GLIPR1,4.04405559925824E-116,0.372729048502959,0.462,0.223,1.02929303112321E-111
COL14A1,3.2220420048499E-115,-0.561502803932278,0.705,0.819,8.20074131074397E-111
AP2S1,4.36818450595184E-115,0.443706399752197,0.774,0.604,1.11179032045486E-110
ITM2A,1.36853604276102E-114,-0.540690024667034,0.077,0.224,3.48319793603534E-110
SERF2,1.38030436462106E-114,0.334809211902813,0.977,0.974,3.51315066883352E-110
HAS1,1.59398242668082E-114,0.533488854245805,0.229,0.053,4.05700407238803E-110
CMIP,2.03184480578084E-114,0.293041697470518,0.312,0.106,5.17145139967341E-110
FOXP1,2.37821050882212E-114,0.411993869649303,0.634,0.385,6.05302138705406E-110
C1QTNF6,2.9987609006474E-114,0.306277497535778,0.498,0.241,7.63244624432776E-110
NT5DC2,3.09612977387947E-114,0.412298150207374,0.474,0.244,7.88026950047803E-110
LUM,5.2823029865517E-114,0.542411235282649,0.978,0.975,1.34445175613714E-109
TAGLN2,9.82719908925349E-114,0.441885502896792,0.902,0.787,2.5012187121968E-109
RCN3,1.12803294111643E-112,0.46132957130167,0.796,0.639,2.87106944172955E-108
CKB,1.92786945972719E-112,-0.499420757194691,0.117,0.278,4.90681334889763E-108
CSRP2,3.86403742630812E-112,0.607134867583708,0.448,0.22,9.83474805743942E-108
SMIM3,4.32383460071718E-112,0.356474395200863,0.396,0.175,1.10050238257454E-107
NEAT1,7.28101219647961E-112,0.554833779357567,0.991,0.979,1.85316322424799E-107
TUBA1C,1.83460744781302E-111,0.44522343910762,0.6,0.366,4.6694428761737E-107
ANK2,1.91437389915246E-111,-0.600493883718617,0.284,0.455,4.87246444812284E-107
ABCA6,3.09725713500254E-111,-0.446324046814075,0.157,0.334,7.88313886000847E-107
COL18A1,3.50449677096071E-110,-0.678615466772715,0.596,0.73,8.91964518144921E-106
EIF4A1,6.14983222789506E-110,0.410543176761481,0.776,0.584,1.56525529864385E-105
COX7A2,7.92884822453457E-110,0.444703372460115,0.847,0.724,2.01805045010854E-105
SCPEP1,3.28893970544402E-109,-0.509369724109621,0.375,0.539,8.37100933829613E-105
TBX18,6.30096423988998E-109,-0.437694610215147,0.098,0.246,1.6037214183368E-104
CAB39L,1.85527108818531E-108,-0.355576881707915,0.092,0.24,4.72203597364924E-104
KRT16,3.67347288989834E-108,0.530998976332942,0.429,0.213,9.34972319936926E-104
SNRPG,5.19739668414405E-108,0.388591678246685,0.739,0.522,1.32284140404834E-103
HAPLN3,1.32861234785375E-107,0.276918340704304,0.354,0.139,3.38158414775737E-103
LRRC15,2.2892683729871E-107,0.420455119622031,0.469,0.232,5.82664586292676E-103
S100A13,3.4918522559566E-107,-0.458162912229821,0.835,0.87,8.88746236186074E-103
ADAMTS2,1.05751309078774E-106,0.370518039537149,0.638,0.377,2.69158231867296E-102
NDUFS5,3.29503248535461E-106,0.384432533841168,0.874,0.77,8.38651668172455E-102
B4GALT1,6.79039891432165E-106,0.473232963576514,0.658,0.411,1.72829233167315E-101
PAM,1.14873695144312E-105,-0.608687878629011,0.667,0.744,2.92376528881302E-101
PNISR,4.0620983643859E-105,-0.432969702186497,0.792,0.83,1.0338852757035E-100
C3,1.21166513784828E-104,-0.822544007396404,0.356,0.527,3.08393010885145E-100
TIMP1,2.02581408503534E-104,1.39164101110075,0.961,0.947,5.15610200923195E-100
LDB2,4.15472522952494E-104,-0.428392808222327,0.107,0.256,1.05746066541869E-99
LRP1,5.31250457371906E-104,-0.435521139889794,0.895,0.916,1.35213866410297E-99
GPNMB,2.08915072413881E-103,-0.523497164843566,0.762,0.823,5.3173064230781E-99
COL5A2,5.76889501875716E-103,0.578124890236954,0.885,0.817,1.46829916017407E-98
LAMA2,2.79600947001028E-102,-0.584855302009838,0.331,0.498,7.11640330307017E-98
SPARC,3.24529370853559E-102,0.548182243652874,0.972,0.959,8.2599215469648E-98
LAMA4,2.80762574403577E-101,-0.536435750081383,0.576,0.683,7.14596904371985E-97
NFKBIZ,3.18887397543873E-101,0.611127565044265,0.558,0.349,8.11632204228666E-97
BMP1,4.520236763874E-101,0.346257101222833,0.636,0.397,1.15049066114121E-96
SOX4,3.84981658444842E-100,0.485062081878284,0.804,0.616,9.79855317073812E-96
POMP,5.29097463361774E-100,0.38837444300336,0.828,0.682,1.34665886374839E-95
MT-ATP6,6.98405654517557E-100,-0.380270376792302,0.996,0.998,1.77758207187809E-95
ATP6V0B,7.85983928126758E-100,0.415605546734218,0.713,0.527,2.00048629386823E-95
GFPT2,8.70285516242044E-100,0.362732508891703,0.408,0.194,2.21505069593925E-95
CDON,2.56825884016199E-99,-0.374153880675525,0.095,0.236,6.5367323999803E-95
EIF4EBP1,7.35048823269773E-99,0.305087982020889,0.473,0.246,1.87084626498623E-94
CD82,1.32528952408081E-98,0.523704909986966,0.41,0.206,3.37312689669047E-94
PRELID1,7.71323533791025E-98,0.413166843436398,0.771,0.605,1.96317265820492E-93
PSAP,1.14101256300232E-97,-0.350446217395395,0.936,0.944,2.9041051753535E-93
SYNE3,1.92608916071516E-97,-0.402534512958715,0.134,0.285,4.90228213185223E-93
NOVA1,3.28345520992948E-97,-0.542826734059431,0.226,0.385,8.35705020031252E-93
ANTXR2,6.8035823738581E-97,-0.637376814582696,0.334,0.467,1.73164778579436E-92
CKAP4,8.49185953793705E-97,0.399000238478014,0.697,0.5,2.16134808959574E-92
NME1,1.79756687810766E-96,0.37677173807259,0.563,0.35,4.57516721815961E-92
ADAMTS12,3.733349862941E-96,0.289322420661111,0.374,0.17,9.50212207115742E-92
WDR1,1.01519422303187E-95,0.353209604705384,0.555,0.33,2.58387233646071E-91
METTL7A,1.61614242315854E-95,-0.48483805027017,0.245,0.408,4.11340569542312E-91
MAPKAPK2,1.65190164929981E-95,0.33080726468447,0.474,0.252,4.20442007779787E-91
ARF4,1.94376426004311E-95,0.418904326673597,0.846,0.727,4.94726879466172E-91
PGM2L1,4.18649071648818E-95,0.347855117039117,0.422,0.213,1.06554561716057E-90
ARL4C,1.55894874142169E-94,0.367345813342763,0.467,0.241,3.96783633666649E-90
ACSL4,1.61827354395758E-94,0.568923361763145,0.373,0.178,4.11882982408082E-90
RPL18A,1.31868562814097E-93,0.245313289140485,0.976,0.98,3.35631866074441E-89
THBS2,1.4561855675518E-93,0.4931890465749,0.868,0.714,3.70628350653285E-89
SLIT2,2.0510677486239E-93,-0.538990044868637,0.175,0.321,5.22037763379755E-89
PCOLCE2,3.32058260950327E-93,-1.0132909917603,0.207,0.361,8.45154685770773E-89
SRA1,4.99256879691319E-93,0.29081065594981,0.475,0.258,1.27070861019035E-88
SNHG8,6.4531614787213E-93,-0.592135565741198,0.563,0.644,1.64245865956414E-88
ADAMTS4,7.02236406136188E-93,0.319687166692323,0.256,0.084,1.78733210089783E-88
RPL27,1.78277976416011E-92,0.288420247823462,0.941,0.933,4.53753105574032E-88
TMEM176A,2.17173450512528E-92,-0.537302310908999,0.352,0.52,5.52749866244486E-88
TSC22D3,2.41940560362806E-92,-0.50754993611103,0.342,0.5,6.15787114235413E-88
PYCR1,2.90722657822576E-92,0.258606551693722,0.424,0.207,7.39947308690021E-88
KRT17,2.0381941056217E-91,0.413935873231355,0.276,0.106,5.18761163762835E-87
GSTO1,2.04603874881694E-91,0.492316420460904,0.747,0.584,5.20757782348889E-87
CD276,4.62640900466211E-91,0.363967695662736,0.626,0.405,1.1775136198666E-86
TIMM13,3.62615424665812E-90,0.323766927790202,0.696,0.492,9.22928778859426E-86
ATOX1,3.97913482249611E-90,0.325038836827809,0.743,0.552,1.01276939502171E-85
FKBP11,6.76578984117122E-90,0.326107756619819,0.583,0.367,1.7220288303749E-85
NFIB,8.30665025707626E-90,-0.580553222540468,0.493,0.606,2.11420862343105E-85
MICAL2,8.95707036249215E-90,0.262737177721785,0.254,0.088,2.2797535486615E-85
RAB13,1.15183134482456E-89,0.454206713222014,0.784,0.615,2.93164113884746E-85
UBB,1.61618414057246E-89,0.298367008779601,0.951,0.93,4.11351187458503E-85
FAM20C,1.95200706341339E-89,0.373251715317838,0.651,0.422,4.96824837779976E-85
ZNF667-AS1,3.29810682665922E-89,-0.29136432306545,0.106,0.244,8.39434149521304E-85
SLC25A6,3.88478010875954E-89,0.344615437700723,0.913,0.836,9.88754233281478E-85
PABPC1,9.70884365823761E-89,0.35826118984714,0.857,0.723,2.47109488789464E-84
RSRP1,1.00719828476764E-88,-0.463079946156769,0.562,0.655,2.5635210743906E-84
PHLDA2,1.10426305737823E-88,0.347534690786986,0.295,0.117,2.81057033363907E-84
COL21A1,1.44258100176666E-88,-0.406048936881945,0.084,0.21,3.67165716569649E-84
APCDD1,1.71070025767974E-88,-1.48687015389759,0.214,0.366,4.35407429584647E-84
CYP1B1,2.81122064630819E-88,0.457181649372438,0.27,0.099,7.15511878898362E-84
DDIT4,3.03029863858353E-88,0.517736405124022,0.388,0.195,7.71271609492279E-84
SELENOS,4.82191154062268E-88,0.38321464551245,0.774,0.588,1.22727292531928E-83
WNT2,7.94379905925969E-88,0.286306740357612,0.24,0.078,2.02185573656278E-83
C1S,1.29223666841156E-87,-0.334377121578712,0.969,0.977,3.28900076844111E-83
TFRC,1.74076392865202E-87,0.227580045577061,0.203,0.054,4.43059235120513E-83
OAZ1,1.82031374586823E-87,0.332868912532861,0.942,0.895,4.63306254598381E-83
FCGRT,4.50127131967357E-87,-0.436483088731242,0.755,0.782,1.14566357628332E-82
PTGS1,5.51886061211328E-87,0.404102067473209,0.323,0.143,1.40466040299507E-82
SEC61B,8.9024878749242E-87,0.337411569626033,0.885,0.804,2.26586121392571E-82
MGP,2.29423138209931E-86,-0.781800872348397,0.667,0.752,5.83927771371915E-82
MT2A,2.75540991159562E-86,1.40819007563383,0.815,0.719,7.01306930699318E-82
PDGFD,4.46386098409326E-86,-0.5101391114591,0.248,0.406,1.13614189767142E-81
IFITM3,1.36953968056E-85,0.378414600540931,0.964,0.964,3.4857523949613E-81
LDHA,2.27212778732107E-85,0.524202752999676,0.926,0.853,5.78301964428959E-81
PGAM1,1.48188010409148E-84,0.411139617882929,0.778,0.646,3.77168124093362E-80
RPS17,4.84338920868426E-84,0.511915650890192,0.778,0.582,1.23273942139432E-79
TMEM158,5.3213545678898E-84,0.495290997397694,0.254,0.095,1.35439116461931E-79
ADAMTS6,5.42679427499327E-84,0.297249073155614,0.248,0.088,1.38122767887129E-79
P3H4,8.89413941873676E-84,0.286821084687325,0.469,0.257,2.26373636485688E-79
CHN1,1.60522678844689E-83,0.331438654926225,0.354,0.165,4.08562322195502E-79
GALNT2,2.59807690888524E-83,0.257303093131942,0.403,0.205,6.61262534849472E-79
RPL28,6.04264230490857E-83,0.290453322834093,0.982,0.986,1.53797331944533E-78
CLIC4,7.17631682114283E-83,0.321042288682079,0.709,0.484,1.82651615731727E-78
TCEAL9,7.95733209880231E-83,0.319168474347336,0.801,0.634,2.02530016578716E-78
IL16,9.47364268477044E-83,-0.321417504066774,0.092,0.218,2.41123153612777E-78
COL7A1,1.07925280712129E-82,0.44483072611443,0.279,0.108,2.7469142446851E-78
PDXK,1.08508422303886E-82,0.250526196868399,0.464,0.253,2.76175636447851E-78
SRPX,1.19690014468431E-82,-0.628638030805391,0.541,0.63,3.0463502482505E-78
EBF1,1.54389916402283E-82,-0.533397350705104,0.407,0.537,3.9295321522709E-78
S100A9,1.81423096449306E-82,0.538257131047921,0.317,0.144,4.61758065082773E-78
TCF7L1,2.516215373416E-82,-0.340336628905994,0.122,0.257,6.4042713684184E-78
CERCAM,3.29657962806451E-82,0.437466807860072,0.67,0.498,8.39045446934979E-78
LOX,4.8432675111808E-82,0.361302387765458,0.56,0.352,1.23270844694574E-77
YBX1,6.16718640679472E-82,0.304525749439834,0.927,0.904,1.56967228425739E-77
GGT5,6.25969642692944E-82,-0.65745817929845,0.333,0.478,1.59321793458208E-77
GUK1,6.84390815233149E-82,0.334950158008876,0.869,0.781,1.74191150293141E-77
FZD1,1.17497665262805E-81,0.283804547302505,0.527,0.313,2.9905505762689E-77
CSGALNACT1,1.36170597548413E-81,0.349069190904161,0.546,0.332,3.46581404880221E-77
